"STATION","NAME","DATE","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-01","14.4","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-02","16.7","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-03","15.6","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-04","14.4","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-05","14.4","7.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-06","15.0","7.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-07","13.3","7.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-08","13.3","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-09","12.2","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-10","14.4","7.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-11","12.8","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-12","12.8","7.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-13","12.2","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-14","12.2","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-15","11.7","6.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-16","10.0","6.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-17","12.2","6.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-18","12.2","7.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-19","12.8","7.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-20","13.9","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-21","13.9","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-22","16.1","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-23","15.0","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-24","17.2","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-25","17.8","12.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-01-26","14.4","11.1"
